Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2025-05-25 14:57:07.829520,0,0,0,0
2025-05-25 14:57:08.257492,0,0,0,0
2025-05-25 14:57:08.388579,0,0,0,0
2025-05-25 14:57:08.497462,0,0,0,0
2025-05-25 14:57:09.777944,0,0,0,0
2025-05-25 14:57:09.982965,2,0,0,0
2025-05-25 14:57:10.178036,2,0,0,0
2025-05-25 14:57:10.393963,2,0,0,0
2025-05-25 14:57:10.570634,2,0,0,0
2025-05-25 14:57:10.739289,2,0,0,0
2025-05-25 14:57:10.903561,2,0,0,0
2025-05-25 14:57:11.049348,2,0,0,0
2025-05-25 14:57:11.200558,2,0,0,0
2025-05-25 14:57:11.358891,2,0,0,0
2025-05-25 14:57:11.523100,2,0,0,0
2025-05-25 14:57:11.676914,2,0,0,0
2025-05-25 14:57:11.850262,2,0,0,0
2025-05-25 14:57:12.004532,2,0,0,0
2025-05-25 14:57:12.154747,2,0,0,0
2025-05-25 14:57:12.299796,2,0,0,0
2025-05-25 14:57:12.446190,0,0,0,0
2025-05-25 14:57:12.545262,0,0,0,0
2025-05-25 14:57:12.642196,2,0,0,0
2025-05-25 14:57:12.778148,2,0,0,0
2025-05-25 14:57:12.921081,2,0,0,0
2025-05-25 14:57:13.092590,2,0,0,0
2025-05-25 14:57:13.243770,2,0,0,0
2025-05-25 14:57:13.376769,2,0,0,0
2025-05-25 14:57:13.561195,2,0,0,0
2025-05-25 14:57:13.723051,2,0,0,0
2025-05-25 14:57:13.877681,2,0,0,0
2025-05-25 14:57:14.065894,1,0,0,0
2025-05-25 14:57:14.198426,1,0,0,0
2025-05-25 14:57:14.336848,1,0,0,0
2025-05-25 14:57:14.474153,1,0,0,0
2025-05-25 14:57:14.606616,2,0,0,0
2025-05-25 14:57:14.788456,2,0,0,0
2025-05-25 14:57:14.937610,2,0,0,0
2025-05-25 14:57:15.057182,2,0,0,0
2025-05-25 14:57:15.202354,2,0,0,0
2025-05-25 14:57:15.376035,3,0,0,0
2025-05-25 14:57:15.546890,3,0,0,0
2025-05-25 14:57:15.693147,2,0,0,0
2025-05-25 14:57:15.839244,2,0,0,0
2025-05-25 14:57:15.956150,2,0,0,0
2025-05-25 14:57:16.072521,2,0,0,0
2025-05-25 14:57:16.192928,1,0,0,0
2025-05-25 14:57:16.346967,1,0,0,0
2025-05-25 14:57:16.474881,2,0,0,0
2025-05-25 14:57:16.609970,0,0,0,0
2025-05-25 14:57:16.714329,2,0,0,0
2025-05-25 14:57:16.837552,2,0,0,0
2025-05-25 14:57:16.992696,2,0,0,0
2025-05-25 14:57:17.150695,2,0,0,0
2025-05-25 14:57:17.275535,3,0,0,0
2025-05-25 14:57:17.428934,3,0,0,0
2025-05-25 14:57:17.585021,3,0,0,0
2025-05-25 14:57:17.743119,3,0,0,0
2025-05-25 14:57:17.870327,3,0,0,0
2025-05-25 14:57:18.011419,3,0,0,0
2025-05-25 14:57:18.153228,2,0,0,0
2025-05-25 14:57:18.271498,3,0,0,0
2025-05-25 14:57:18.419671,3,0,0,0
2025-05-25 14:57:18.561272,3,0,0,0
2025-05-25 14:57:18.705089,3,0,0,0
2025-05-25 14:57:18.822619,2,0,0,0
2025-05-25 14:57:18.970046,2,0,0,0
2025-05-25 14:57:19.092077,2,0,0,0
2025-05-25 14:57:19.236581,2,0,0,0
2025-05-25 14:57:19.385760,2,0,0,0
2025-05-25 14:57:19.524100,2,0,0,0
2025-05-25 14:57:19.665962,2,0,0,0
2025-05-25 14:57:19.809223,2,0,0,0
2025-05-25 14:57:19.948957,2,0,0,0
2025-05-25 14:57:20.085453,2,0,0,0
2025-05-25 14:57:20.229867,2,0,0,0
2025-05-25 14:57:20.374651,2,0,0,0
2025-05-25 14:57:20.515974,2,0,0,0
2025-05-25 14:57:20.652818,2,0,0,0
2025-05-25 14:57:20.773796,0,0,0,0
2025-05-25 14:57:20.866644,2,0,0,0
2025-05-25 14:57:21.007017,2,0,0,0
2025-05-25 14:57:21.148000,3,0,0,0
2025-05-25 14:57:21.289430,3,0,0,0
2025-05-25 14:57:21.426234,2,0,0,0
2025-05-25 14:57:21.561187,3,0,0,0
2025-05-25 14:57:21.679197,3,0,0,0
2025-05-25 14:57:21.795410,3,0,0,0
2025-05-25 14:57:21.931058,4,0,0,0
2025-05-25 14:57:22.071125,4,0,0,0
2025-05-25 14:57:22.208860,3,0,0,0
2025-05-25 14:57:22.348921,2,0,0,0
2025-05-25 14:57:22.464223,2,0,0,0
2025-05-25 14:57:22.574659,2,0,0,0
2025-05-25 14:57:22.688585,2,0,0,0
2025-05-25 14:57:22.802218,2,0,0,0
2025-05-25 14:57:22.938670,2,0,0,0
2025-05-25 14:57:23.073050,2,0,0,0
2025-05-25 14:57:23.210863,2,0,0,0
2025-05-25 14:57:23.324751,2,0,0,0
2025-05-25 14:57:23.439007,2,0,0,0
2025-05-25 14:57:23.557932,2,0,0,0
2025-05-25 14:57:23.674307,2,0,0,0
2025-05-25 14:57:23.785731,2,0,0,0
2025-05-25 14:57:23.927112,2,0,0,0
2025-05-25 14:57:24.065215,2,0,0,0
2025-05-25 14:57:24.207981,2,0,0,0
2025-05-25 14:57:24.350762,2,0,0,0
2025-05-25 14:57:24.484096,2,0,0,0
2025-05-25 14:57:24.617854,2,0,0,0
2025-05-25 14:57:24.757877,2,0,0,0
2025-05-25 14:57:24.874674,2,0,0,0
2025-05-25 14:57:24.988878,2,0,0,0
2025-05-25 14:57:25.127149,3,0,0,0
2025-05-25 14:57:25.240827,3,0,0,0
2025-05-25 14:57:25.377592,3,0,0,0
2025-05-25 14:57:25.514649,4,0,0,0
2025-05-25 14:57:25.672842,4,0,0,0
2025-05-25 14:57:25.807514,4,0,0,0
2025-05-25 14:57:25.966015,4,0,0,0
2025-05-25 14:57:26.130227,4,0,0,0
2025-05-25 14:57:26.267425,3,0,0,0
2025-05-25 14:57:26.426090,3,0,0,0
2025-05-25 14:57:26.579810,3,0,0,0
2025-05-25 14:57:26.736380,4,0,0,0
2025-05-25 14:57:26.868525,4,0,0,0
2025-05-25 14:57:26.982549,4,0,0,0
2025-05-25 14:57:27.118701,4,0,0,0
2025-05-25 14:57:27.233471,4,0,0,0
2025-05-25 14:57:27.348257,3,0,0,0
2025-05-25 14:57:27.465255,3,0,0,0
2025-05-25 14:57:27.584797,3,0,0,0
2025-05-25 14:57:27.705000,2,0,0,0
2025-05-25 14:57:27.830126,1,0,0,0
2025-05-25 14:57:27.952503,1,0,0,0
2025-05-25 14:57:28.075499,1,0,0,0
2025-05-25 14:57:28.196560,1,0,0,0
2025-05-25 14:57:28.318567,1,0,0,0
2025-05-25 14:57:28.439193,2,0,0,0
2025-05-25 14:57:28.589786,2,0,0,0
2025-05-25 14:57:28.719957,3,0,0,0
2025-05-25 14:57:28.841629,3,0,0,0
2025-05-25 14:57:28.959698,3,0,0,0
2025-05-25 14:57:29.077568,3,0,0,0
2025-05-25 14:57:29.188189,2,0,0,0
2025-05-25 14:57:29.302194,2,0,0,0
2025-05-25 14:57:29.417177,2,0,0,0
2025-05-25 14:57:29.528789,2,0,0,0
2025-05-25 14:57:29.641008,3,0,0,0
2025-05-25 14:57:29.773072,3,0,0,0
2025-05-25 14:57:29.904994,3,0,0,0
2025-05-25 14:57:30.019554,3,0,0,0
2025-05-25 14:57:30.145659,2,0,0,0
2025-05-25 14:57:30.262568,2,0,0,0
2025-05-25 14:57:30.379456,2,0,0,0
2025-05-25 14:57:30.490734,1,0,0,0
2025-05-25 14:57:30.605727,1,0,0,0
2025-05-25 14:57:30.717235,1,0,0,0
2025-05-25 14:57:30.829369,1,0,0,0
2025-05-25 14:57:30.940620,2,0,0,0
2025-05-25 14:57:31.082300,3,0,0,0
2025-05-25 14:57:31.197003,3,0,0,0
2025-05-25 14:57:31.307353,3,0,0,0
2025-05-25 14:57:31.440420,3,0,0,0
2025-05-25 14:57:31.560038,3,0,0,0
2025-05-25 14:57:31.678275,3,0,0,0
2025-05-25 14:57:31.794494,3,0,0,0
2025-05-25 14:57:31.906063,2,0,0,0
2025-05-25 14:57:32.017318,1,0,0,0
2025-05-25 14:57:32.132766,1,0,0,0
2025-05-25 14:57:32.244948,2,0,0,0
2025-05-25 14:57:32.360943,2,0,0,0
2025-05-25 14:57:32.471024,2,0,0,0
2025-05-25 14:57:32.586350,2,0,0,0
2025-05-25 14:57:32.720697,3,0,0,0
2025-05-25 14:57:32.859843,3,0,0,0
2025-05-25 14:57:32.994445,3,0,0,0
2025-05-25 14:57:33.113235,3,0,0,0
2025-05-25 14:57:33.232306,3,0,0,0
2025-05-25 14:57:33.347060,3,0,0,0
2025-05-25 14:57:33.462322,3,0,0,0
2025-05-25 14:57:33.579382,2,0,0,0
2025-05-25 14:57:33.697944,3,0,0,0
2025-05-25 14:57:33.842857,3,0,0,0
2025-05-25 14:57:33.960874,3,0,0,0
2025-05-25 14:57:34.100815,2,0,0,0
2025-05-25 14:57:34.213266,2,0,0,0
2025-05-25 14:57:34.329873,2,0,0,0
2025-05-25 14:57:34.445642,2,0,0,0
2025-05-25 14:57:34.577563,2,0,0,0
2025-05-25 14:57:34.689833,2,0,0,0
2025-05-25 14:57:34.806022,2,0,0,0
2025-05-25 14:57:34.919195,2,0,0,0
2025-05-25 14:57:35.035942,3,0,0,0
2025-05-25 14:57:35.150299,3,0,0,0
2025-05-25 14:57:35.269898,3,0,0,0
2025-05-25 14:57:35.384581,2,0,0,0
2025-05-25 14:57:35.496268,2,0,0,0
2025-05-25 14:57:35.610800,3,0,0,0
2025-05-25 14:57:35.744335,2,0,0,0
2025-05-25 14:57:35.854797,2,0,0,0
2025-05-25 14:57:35.964894,2,0,0,0
2025-05-25 14:57:36.081500,2,0,0,0
2025-05-25 14:57:36.195609,3,0,0,0
2025-05-25 14:57:36.314747,2,0,0,0
2025-05-25 14:57:36.435580,2,0,0,0
2025-05-25 14:57:36.557351,2,0,0,0
2025-05-25 14:57:36.667741,2,0,0,0
2025-05-25 14:57:36.781399,2,0,0,0
2025-05-25 14:57:36.895106,2,0,0,0
2025-05-25 14:57:37.012100,2,0,0,0
2025-05-25 14:57:37.126199,2,0,0,0
2025-05-25 14:57:37.236223,2,0,0,0
2025-05-25 14:57:37.348281,2,0,0,0
2025-05-25 14:57:37.463086,2,0,0,0
2025-05-25 14:57:37.576802,3,0,0,0
2025-05-25 14:57:37.716153,2,0,0,0
2025-05-25 14:57:37.851619,2,0,0,0
2025-05-25 14:57:37.965112,2,0,0,0
2025-05-25 14:57:38.102203,2,0,0,0
2025-05-25 14:57:38.251058,3,0,0,0
2025-05-25 14:57:38.386983,3,0,0,0
2025-05-25 14:57:38.523442,3,0,0,0
2025-05-25 14:57:38.637218,3,0,0,0
2025-05-25 14:57:38.770698,3,0,0,0
2025-05-25 14:57:38.909063,3,0,0,0
2025-05-25 14:57:39.022908,3,0,0,0
2025-05-25 14:57:39.137228,3,0,0,0
2025-05-25 14:57:39.273305,3,0,0,0
2025-05-25 14:57:39.384868,2,0,0,0
2025-05-25 14:57:39.499418,2,0,0,0
2025-05-25 14:57:39.612775,2,0,0,0
2025-05-25 14:57:39.727054,2,0,0,0
2025-05-25 14:57:39.836324,1,0,0,0
2025-05-25 14:57:39.953614,1,0,0,0
2025-05-25 14:57:40.063386,2,0,0,0
2025-05-25 14:57:40.178340,2,0,0,0
2025-05-25 14:57:40.291876,2,0,0,0
2025-05-25 14:57:40.405287,2,0,0,0
2025-05-25 14:57:40.517021,2,0,0,0
2025-05-25 14:57:40.632801,2,0,0,0
2025-05-25 14:57:40.747224,2,0,0,0
2025-05-25 14:57:40.861048,1,0,0,0
2025-05-25 14:57:40.970506,1,0,0,0
2025-05-25 14:57:41.092625,2,0,0,0
2025-05-25 14:57:41.213526,2,0,0,0
2025-05-25 14:57:41.333407,2,0,0,0
2025-05-25 14:57:41.449758,2,0,0,0
2025-05-25 14:57:41.566629,2,0,0,0
2025-05-25 14:57:41.679260,2,0,0,0
2025-05-25 14:57:41.794852,1,0,0,0
2025-05-25 14:57:41.913613,1,0,0,0
2025-05-25 14:57:42.037080,1,0,0,0
2025-05-25 14:57:42.158998,1,0,0,0
2025-05-25 14:57:42.276380,1,0,0,0
2025-05-25 14:57:42.392543,1,0,0,0
2025-05-25 14:57:42.511598,1,0,0,0
2025-05-25 14:57:42.632702,1,0,0,0
2025-05-25 14:57:42.748305,1,0,0,0
2025-05-25 14:57:42.866740,1,0,0,0
2025-05-25 14:57:42.982821,1,0,0,0
2025-05-25 14:57:43.128261,1,0,0,0
2025-05-25 14:57:43.250526,1,0,0,0
2025-05-25 14:57:43.365140,2,0,0,0
2025-05-25 14:57:43.501790,2,0,0,0
2025-05-25 14:57:43.646535,3,0,0,0
2025-05-25 14:57:43.765676,3,0,0,0
2025-05-25 14:57:43.883699,3,0,0,0
2025-05-25 14:57:43.997576,3,0,0,0
2025-05-25 14:57:44.122782,3,0,0,0
2025-05-25 14:57:44.235426,2,0,0,0
2025-05-25 14:57:44.373927,1,0,0,0
2025-05-25 14:57:44.544836,1,0,0,0
2025-05-25 14:57:44.674819,1,0,0,0
2025-05-25 14:57:44.801335,1,0,0,0
2025-05-25 14:57:44.916598,2,0,0,0
