Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2025-06-09 09:13:27.854642,0,0,0,0
2025-06-09 09:13:28.814972,0,0,0,0
2025-06-09 09:13:29.005898,1,0,0,0
2025-06-09 09:13:29.146827,1,0,0,0
2025-06-09 09:13:29.287250,1,0,0,0
2025-06-09 09:13:29.420336,1,0,0,0
2025-06-09 09:13:29.550244,1,0,0,0
2025-06-09 09:13:29.679071,1,0,0,0
2025-06-09 09:13:29.807575,1,0,0,0
2025-06-09 09:13:29.932125,1,0,0,0
2025-06-09 09:13:30.056906,1,0,0,0
2025-06-09 09:13:30.181409,1,0,0,0
2025-06-09 09:13:30.324807,1,0,0,0
2025-06-09 09:13:30.450345,1,0,0,0
2025-06-09 09:13:30.575291,0,0,0,0
2025-06-09 09:13:30.673562,0,0,0,0
2025-06-09 09:13:30.773304,0,0,0,0
2025-06-09 09:13:30.876222,0,0,0,0
2025-06-09 09:13:30.977161,0,0,0,0
2025-06-09 09:13:31.080118,0,0,0,0
2025-06-09 09:13:31.185619,0,0,0,0
2025-06-09 09:13:31.287162,0,0,0,0
2025-06-09 09:13:31.384474,1,0,0,0
2025-06-09 09:13:31.509730,1,0,0,0
2025-06-09 09:13:31.643163,1,0,0,0
2025-06-09 09:13:31.769165,1,0,0,0
2025-06-09 09:13:31.919206,1,0,0,0
2025-06-09 09:13:32.057158,1,0,0,0
2025-06-09 09:13:32.196782,1,0,0,0
2025-06-09 09:13:32.324450,1,0,0,0
2025-06-09 09:13:32.457280,1,0,0,0
2025-06-09 09:13:32.586774,1,0,0,0
2025-06-09 09:13:32.712396,1,0,0,0
2025-06-09 09:13:32.854717,1,0,0,0
2025-06-09 09:13:32.990745,1,0,0,0
2025-06-09 09:13:33.123203,1,0,0,0
2025-06-09 09:13:33.259924,1,0,0,0
2025-06-09 09:13:33.388650,1,0,0,0
2025-06-09 09:13:33.533075,1,0,0,0
2025-06-09 09:13:33.691681,1,0,0,0
2025-06-09 09:13:33.841489,1,0,0,0
2025-06-09 09:13:33.978962,1,0,0,0
2025-06-09 09:13:34.128011,1,0,0,0
2025-06-09 09:13:34.259765,1,0,0,0
2025-06-09 09:13:34.388569,1,0,0,0
2025-06-09 09:13:34.520188,1,0,0,0
2025-06-09 09:13:34.648116,1,0,0,0
2025-06-09 09:13:34.781142,1,0,0,0
2025-06-09 09:13:34.916007,1,0,0,0
2025-06-09 09:13:35.047998,1,0,0,0
2025-06-09 09:13:35.217082,1,0,0,0
2025-06-09 09:13:35.355989,1,0,0,0
